Region,District,Chiefdom,Section,wp name,wp type,wp_func,wp_susta,wp_suita,ownership,maintenance,WASH comm,decl_ODF,extrac_type,time_repair,chlorination,maint_con
East,Kono,Tankoro,Majamadu Community,School Pump,protec dug_well,Broken down,Seasonal,Yes,School,School,Yes,Yes,Hand pump,Over a week,Yes,School
East,Kenema,Malegohun,Sembehun,Romantic Catholic  primary  school  hand  dug well,protec dug_well,Functional in use,Seasonal,Yes,School,WASH management committee,Yes,No,Hand pump,More than a year,Yes,WASH management committee
East,Kenema,Kandu Leppiama,Mendama,Mendama,protec dug_well,Functional in use,Dry always / Never water,Yes,Community,WASH management committee,Yes,Yes,Hand pump,Less than a week,No,WASH management committee
East,Kenema,Kenema City,nyandeyama,Bull compound water well,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,Yes,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kono,Kamara,Taiedu,Taiedu Community water point,protec dug_well,Functional in use,Seasonal,No,Community,WASH management committee,Yes,No,Hand pump,Over a month,No,WASH management committee
East,Kono,Nimiyama,Masingbi Road,Masingbi Road,private tap,Functional in use,Seasonal,Yes,Private Individual,Privat owner,Yes,Yes,,Less than a week,,other
East,Kailahun,Kissi Teng,Fowahngopi Bengu,Fowahngopi  Bengu  Pump,protec dug_well,Functional in use,Seasonal,Yes,Community,Local council,Yes,No,Hand pump,Over a month,Yes,Local council
East,Kailahun,Upper Bambara,Pendembu,Pendembu,protec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,Yes,No,Hand pump,More than a year,Yes,other
East,Kailahun,Upper Bambara,Salonwlo,Salobwlo,protec dug_well,Functional in use,Always water,Yes,Community,Other community group,Yes,No,Hand pump,Over a month,Yes,other
East,Kailahun,Kissi Tongi,Kiligbeama,Kiligbeama waterpoint,surface_water,Functional in use,Always water,Yes,Community,Other community group,No,No,,,,other
East,Kono,Lei,Kombayendeh,Tap,public tap/kiosk,Functional in use,Seasonal,Yes,Community,WASH management committee,Yes,No,Gravity,Over a month,,WASH management committee
East,Kailahun,Kissi Tongi,Buedu,Islamic Primary school Water point,protec dug_well,Broken down,Always water,Yes,School,School,No,No,Hand pump,Over a month,No,School
East,Kenema,Kenema City,Kondehbotihun,Mr Saidu Massaquoi,unprotec dug_well,Functional in use,Always water,Yes,Private Individual,Privat owner,No,No,"Hand manual (e.g. rope pump, rope & bucket)",never broken,Yes,other
East,Kono,Nimikoro,Mamu,Tube well,borewell,Functional in use,Seasonal,Yes,Community,Other community group,No,No,Hand pump,Over a week,No,other
